[['el verdadero: Si caigo yo caen todos.', '  ', 'bersatu kita teguh bercerai satu kita runtuh ', 'Ellas compiten, ellos se divierten', 'sc mnh tnh bn', 'bengekk', '', 'matra ; kiri kanan kiri kanan', '1 orang bisa menghabat kerja sama', 'baca nama gue'],
['Meow meow meow meow MEOW', 'the cup did break', 'Meow meow meo Meow meow DONT DO IT meow', 'Ur gf looks Kinda Like alessandra', 'me be like', b"that's crazy!", 'NATHAN!!! ', 'how to get sidequest', 'HAVE', '@Isaac yo'],
['HE HELD IT STRAIGHT AFTER', "it's his first day ..give him a break ", "this is lowkey one of the best ones I've seen lmao", 'The way he turned lol ', 'I had the same face when my dad told that too', 'I keep watching it over and over...and laugh a little harder each time ', 'Cat went: Oh my bad homie', 'He said oh yeah ight', 'He cannot work under this pressure', '"I\'m trying, don\'t yell at me" '],
['    ', '  ', 'Justin Bieber!!', 'Not me singing along with it ', 'I LOVE THIS ', 'wow!', 'Awesome', 'MEMORIES', 'this song ', "Justin Bieber won't leave my fyp TvT"],
['Her brother has zero facial expressions', ' lifes sure fascinating', '7"10 would make him the tallest American in History.', "it's all about the angles", 'You Said you were 6 foot 3 like 5 months ago', "dont be lied to, the girl is 6'2", 'The brother is prob 67 or smth and I doubt she is taller than Jokic or Giannis', 'In his profile it says 6 10 so that means your 63', 'hey', 'ELVIS VIBES'],
['bruh the last one killed me!!!', '@Bogdan IBMFamily incerca neaparat cu @Danu Vlogs', 'The magic stairs ', 'hands down the funniest ', 'i need more if this', 'Esa estubo chida ', 'early', 'Buddy did it to Steve jobbs', '', ' !)'],
['PanzerShrek says thank you /100', 'The sound', 'Asmr', '2 pls', 'glicth', 'glitch', 'sidermon', 'Oh yes !!', '', 'anime please'],
['Water', 'R.I.P.', 'rip', 'Sauce?', 'grandma says she did this more often when was young', '@IShowSpeed very funny', 'grandma woke up and decided to choose violence', 'super man', 'me wwn i go ultra instinct', 'toooo babooo'],
['ayoooooo that 100 sun got him geeking', 'w song ', 'My honest reaction: ', '@peashooter this you?', 'is this real?', 'watery graves on top', 'this is so real', 'CONGRATULATIONS ON 800k!!!!!!', 'Yes', 'Me after getting a extra chicken nugget at McDonalds:'],
['where did you get the pen?', 'wow I will ty it tyyy', 'pov you have an android', 'I have android', '*cries in android*', 'Which iPad is that', 'hi what ipad is that', 'crying in android-', 'step one: get an ipad', 'Another reason i want an ipad'],
['suicidal? bmmfyhg why?', 'shes sucks ngl', 'Well its my turn pops get pwuigapupicuikavikabbpumpit cutsscatz munzy', 'kinda ass', 'Beatbox in 2023 is sad 7 year old me can do better', 'She was def the weird kid in school', 'WELL ITS MY TURN POPS GET BIGIBLIGIGBLIGIBLIGBLIGIBLI', 'Get yoru burger ass out of here ', 'Its not good', 'you suicidal? you suicidal'],
['part2', '3 Part please ', 'let', 'still have alot of work', 'y love Honda', 'how did you get that bike?', 'Part two Wayne', 'What was the liquid you put on the gas tank?', 'what is your paint remover', 'nice 1 cylinder'],
['Is anyone else here from the ok Gordon Ramsay', 'Not me trying to find the comment', 'I was so into the video that I forgot it was Gordon Ramsay cooking ', 'Show them how its done ', 'this guy should be a chef he pretty good', 'But the real challenge is: Eating it without everything falling apart.', 'WHERE IS THE LAMB SAAAUUUUCE ?', 'Gordon Ramsay should hire you', 'yall are so funny.', 'ok Gordon ramsay'],
['but my teacher told to me hit the cluch first', '      ', "that's the exact opposite of what the driver instructor's says.", "This is why I drive automatics, don't need to think about stuff like this while I'm driving and watching tik tok videos", 'If u press the clutch first its going to speed up ! Thats why first break slowly and then press clutch till reboot. Once understood that its easy', '      ', 'It has worked for me the past 24 years, I am mot changing it now', 'My husband told me this last week. It takes time but Im managing this new way of stopping the car ', '          ', '    3       '],
['lol', ' cng qua', ' I love cats', 'BN VN KHE CH??', 'hehehehe ', 'Cng qua', 'khp gh', 'wow', 'Cng d  tr', 'cuteee'],
['I miss it sm', 'I miss new york', 'New York City The most beatiful city of th', 'miss you america', 'Astounding', 'I wanna live there so baddd', 'love New York', 'Glad it takes 40 mins for me to go to Manhattan.. just by crossing the bridge of Geroge Washington', 'my dream ', 'Def FOLLOW !!! Wow'],
['liverpool fans crying rn', 'perdn por venderte en el FIFA ', 'Me encanta la nueva equipacin', 'Bellingham i Got You On fifa Mobile', 'giving him number 5 is outrageous', 'could of came to spurs', 'Im sorry but to me this looks like a transfer thats going to fail', 'RONALDO NEED TO COME BACK', 'People comparing him to zidane after like 4 years of being known is criminally insane', '@M tt actually stalking me'],
["1960's is just your a princess", 'Wait why can you actually pull off all of them though', 'Como puede ser que en todas se vea bien. _.', 'soy el unico que piensa que el de 1960 la queda genial?', 'me enamor ', 'i did not just confused you with Mikayla campinos', 'dios con cualquier pelo est preciosa ', 'Love this tbh', 'Ni con un milln de peinados usted sigue siendo hermosa', 'le quedan todos bien '],
['You know where i come from we use water for ice cubes', '"bro you got ice cubes?"\n"yeah bro, what flavor?"', '"hey bro can I have some ice. what\'s flavor? "', 'why cant you just make normal ice ', 'man I aint ever seen seasoned ice', "don't u think that's too much chia seeds for each ice cubes?.. ", 'back in my days we just used 1 ice tray and just water', 'Bro called me poor in ice language ', 'Guys, I think she likes ice', 'i love ice '],
['si tuviera el pelo as me aria todo', 'how do you make your hair so smooth', 'Y yo con mi cabello rizado y todo tieso por ms que lo cuido ', 'tengo todo ahora solo me falta tener su cabello', 'que peinado ni peinado , decime como hago para tener el pelo asiiiiiii', 'Vale ya tengo el tutorial ahora necesito la paciencia', 'Yo con mi pelo tieso', 'yo dndome cuenta que ni para peinarme sirvo ', 'different hair different results', 'lo primero sera tener ese cabello '],
['this is serious', 'Slayyyyyyyyy', 'a ayo', 'Paid actor', 'Stanley really dances for real', 'Lol cat', 'yes', '@bagsraff no way', 'Me tho', 'what !!!'],
['@nik WHAT', 'With', '  ...', '@talea was???!!!!!', '@lilo omgomg', 'finally', '8 years ...', 'Yet for them in the show it was 9 months ', 'Im still at "SHE IS JUST A FRIEND"', '@L :) WHAT?'],
['Not me thinking it was @Valerie Lepelch', '3rd girl?', 'its @Princess Amelia', "it's Ella noel rite", "Nevada I think, bc they've been hanging out a lot lately", 'Yall need to look at the ending', "no it's him", 'navada bro', 'ya bro has new girl each day', 'Thought its was princess amilia'],
['remind meee', "can only imagine how smelly that's going to be ", 'THG ME WHEN THE BABY COW COMESS', 'remind me', 'Please update me', 'Plsss someone remind me!!', 'Part 2 please', 'remind.', 'Remind me please', 'People are doing too much like a cow in the house be fr'],
['samsung forever', 'how much', 'need one', 'never compare iphone to Samsung ', 'woooooo', 'price', 'how much', 'I would have to have this for my business', 'hw much is it', 'wooow'],
['      ', '  ', '', 'OMG', '  ', '  ', 'ive done this it feels so good bc u know u can get away fast enough ', '', '@Inosuke aha xD', ' '],
['good thinking', 'i want one', 'omg', 'Omg love', 'WOW', '', 'big brain ', '@baldiback abi dikkatli Bak', 'apoco si tilin', 'wow'],
