,aweme_id,comment_count,digg_count,download_count,share_count,duration
0,7246773564232207659,1399,283394,34203,30718,5875
1,7234160186418564394,193,44416,1,1327,19934
2,7250223701973749038,6964,730548,3192,49834,5711
3,7237661488364670251,7169,2614128,30613,92941,12434
4,7249462181366877446,8453,1094393,17413,110147,24934
5,7242627495357517102,6157,1234157,170147,40191,5167
6,7226105313471089966,2690,698471,10934,4198,8800
7,7248300636498890011,59836,7083612,31411,281115,48584
8,7252393384923401515,31582,8837919,576999,239286,67073
9,7245735479046573358,2996,53431,0,7814,6300
10,7250223701973749038,6965,730649,3192,49840,5711
11,7250248848122318126,11593,1232148,41124,127517,6315
12,7253323710235430187,264,102916,12270,2711,5900
13,7235668261495409962,955,98373,59865,30040,5177
14,7245367885072387374,15184,5701967,130716,103408,29210
15,7232271816784448814,8406,1216911,4118,34283,136867
16,7238445795886845226,43318,7087529,247404,487078,5875
17,7249462181366877446,8457,1094615,17419,110193,24934
18,7252393384923401515,31586,8839357,577075,239312,67073
19,7250248848122318126,11593,1232226,41127,127523,6315
20,7228686258925653294,284,78465,8,3107,22934
21,7240152355264630062,6150,4063688,1015007,136086,14167
22,7245367885072387374,15184,5701987,130718,103408,29210
23,7249302522802834731,12890,2868494,94741,91055,6200
24,7252393384923401515,31590,8840639,577151,239346,67073
25,7254259184492006702,118,26515,6857,1127,5898
26,7247543631085866286,43464,7927013,116373,1257357,5234
27,7252770377724595498,7133,1909002,260310,350694,32134
28,7236048676785868075,1591,123990,2391,4995,4922
29,7244038127860321544,293,175080,394985,245884,8313
30,7250137692506377518,13,383,6,6,34834
31,7226733296066071810,42863,7326922,170311,803237,28779
32,7233092568601398530,11757,3406170,27272,20274,8381
33,7246773564232207659,1399,283454,34207,30729,5875
34,7228437349640899886,4909,1078577,7335,28021,11234
35,7254157727717461290,83,38865,1736,686,5898
36,7222740289390169387,1624,741924,6683,5344,26865
37,7237425581032394030,258,221920,32882,3560,9869
38,7249302522802834731,12896,2869993,94769,91086,6200
39,7245367885072387374,15184,5702044,130722,103409,29210
40,7222044868128820522,27044,7107038,158486,49104,45734
41,7240152355264630062,6150,4064166,1015082,136101,14167
42,7245735479046573358,2996,53431,0,7814,6300
43,7242241910016838954,906,287955,14941,35034,5875
44,7242634777709284654,22583,5625315,271062,527668,12134
45,7245367885072387374,15184,5702066,130724,103409,29210
46,7253150283117645098,2789,785880,45618,61163,157337
47,7238965133274287406,688,89189,1,2916,34388
48,7231913938093427994,131470,5669599,126414,595443,44372
49,7246773564232207659,1399,283484,34211,30733,5875
50,7232796005945593134,419,63055,1,1368,22367
51,7237425581032394030,258,221928,32885,3560,9869
52,7227830138031983914,19964,4017843,28469,210260,91184
53,7250248848122318126,11597,1232536,41132,127545,6315
54,7235523846617566506,31925,3853661,108766,728253,60975
55,7250223701973749038,6971,731063,3196,49891,5711
56,7236318784745704750,1925,372324,69493,7309,10234
57,7252393384923401515,31611,8845578,577453,239465,67073
58,7251415828401229098,384,129805,14135,4310,5920
59,7245345915899219243,1553,361236,12820,68461,5875
60,7250160388052995355,919,449856,29381,27469,55634
61,7245735479046573358,2996,53431,0,7814,6300
62,7245297545981775150,2733,974463,25052,11518,27677
63,7250223701973749038,6973,731144,3197,49900,5711
64,7251598273390054698,668,189378,17642,5291,6919
65,7249462181366877446,8459,1095255,17425,110251,24934
66,7245735479046573358,2996,53431,0,7814,6300
67,7252393384923401515,31614,8846872,577527,239496,67073
68,7232659654910823726,2350,423159,17097,4879,16021
69,7245297545981775150,2733,974479,25052,11518,27677
70,7233434126966099242,508,40049,2,7133,15567
71,7231289696939216171,200,31558,38,15186,8567
72,7222044868128820522,27044,7107111,158489,49105,45734
73,7252393384923401515,31619,8848159,577601,239526,67073
74,7250248848122318126,11598,1232763,41134,127559,6315
75,7246773564232207659,1399,283519,34216,30738,5875
76,7245367885072387374,15184,5702173,130728,103409,29210
77,7239805432259349806,9894,2135212,29518,101738,5734
78,7237425581032394030,258,221946,32892,3562,9869
79,7222740289390169387,1624,742148,6687,5345,26865
80,7247543631085866286,43470,7927824,116398,1257456,5234
81,7227830138031983914,19965,4018140,28469,210269,91184
82,7250248848122318126,11600,1232834,41134,127564,6315
83,7249461775173766443,42149,11699328,8124,2023851,5084
84,7253784960971181355,1491,185527,31951,9351,5875
85,7254506734092471598,5,4044,474,162,20100
86,7235668261495409962,955,98389,59868,30040,5177
87,7223785267537218862,16090,5325599,6310,259423,5867
88,7248300636498890011,59844,7085060,31414,281153,48584
89,7250248848122318126,11601,1232924,41134,127566,6315
90,7253784960971181355,1494,185813,31981,9360,5875
91,7249461775173766443,42150,11699593,8124,2023865,5084
92,7240152355264630062,6153,4065254,1015254,136131,14167
93,7232796005945593134,419,63055,1,1368,22367
94,7231289696939216171,200,31558,38,15186,8567
95,7242627495357517102,6160,1235015,170173,40200,5167
96,7250223701973749038,6977,731491,3198,49943,5711
97,7250248848122318126,11601,1233028,41134,127574,6315
98,7241572653792759082,145,112212,3130,1018,5875
99,7253323710235430187,265,103087,12298,2716,5900
100,7238324918872444202,1454,1467028,25335,11529,7067
101,7252393384923401515,31632,8852507,577822,239647,67073
102,7238721690073615659,4608,390495,1875,6931,7067
103,7222044868128820522,27045,7107184,158495,49105,45734
104,7222740289390169387,1625,742274,6687,5347,26865
105,7250248848122318126,11603,1233138,41135,127580,6315
106,7252393384923401515,31637,8854001,577889,239689,67073
107,7253323710235430187,265,103105,12298,2716,5900
108,7248214988542922030,373,223249,94830,24182,19067
109,7244884367116487963,62516,7591772,269335,309514,7313
110,7240152355264630062,6153,4065629,1015322,136138,14167
111,7227026192711290155,9953,2853406,116117,130792,8400
112,7222044868128820522,27045,7107201,158495,49105,45734
113,7234217850741787950,542,41828,0,3647,71168
114,7252393384923401515,31642,8855338,577956,239728,67073
115,7225790195495374123,123,160391,16,1599,11770
116,7250248848122318126,11604,1233263,41137,127597,6315
117,7235523846617566506,31927,3853855,108772,728272,60975
118,7244884367116487963,62516,7591792,269335,309516,7313
119,7246773564232207659,1399,283601,34220,30750,5875
120,7252770377724595498,7136,1909702,260396,350773,32134
121,7250248848122318126,11604,1233365,41138,127599,6315
122,7232796005945593134,419,63056,1,1368,22367
123,7241572653792759082,145,112223,3130,1018,5875
124,7254506734092471598,5,4059,475,162,20100
125,7245297545981775150,2733,974556,25054,11518,27677
126,7222044868128820522,27045,7107234,158497,49105,45734
127,7254597973236108587,4,184,1,4,45234
128,7249150433166576942,8463,2260624,49839,191870,10234
129,7227026192711290155,9953,2853860,116132,130806,8400
130,7239805432259349806,9896,2135326,29523,101740,5734
131,7249462181366877446,8468,1096275,17443,110340,24934
132,7252393384923401515,31649,8858147,578090,239786,67073
133,7253323710235430187,265,103160,12312,2717,5900
134,7227507336649428270,26371,11149531,110692,140571,12500
135,7231289696939216171,200,31558,38,15187,8567
136,7250248848122318126,11604,1233451,41141,127602,6315
137,7252561276864367914,6721,907479,12470,40973,63534
138,7250248848122318126,11604,1233566,41145,127607,6315
139,7243132573583494446,11512,2726475,134432,49361,61078
140,7228437349640899886,4914,1078979,7335,28029,11234
