,aweme_id,comment_count,digg_count,download_count,share_count,duration
0,7241572653792759082,145,113176,3239,1024,5875
1,7250248848122318126,12032,1280541,42096,130355,6315
2,7249461775173766443,42594,11814896,8217,2034298,5084
3,7252393384923401515,33492,9309351,611265,253392,67073
4,7237777387637722414,4,150267,1462,1983,121905
5,7238721690073615659,4612,391017,1877,6936,7067
6,7254076369590832389,0,174,6,2,14870
7,7251211991409315115,48,14880,240,737,77230
8,7222740289390169387,1650,749911,6796,5414,26865
9,7246773564232207659,1451,295084,34932,32223,5875
11,7248883883897376043,70548,6951992,315266,809670,10867
13,7250328864004656392,2595,1184969,1271,44544,24635
14,7245367885072387374,15238,5715929,132595,103651,29210
15,7252998519559343406,890,435827,7611,5474,396834
16,7248300636498890011,60303,7155276,31667,283076,48584
17,7249302522802834731,14380,3227484,104244,99719,6200
21,7242634777709284654,23112,5756380,276509,538278,12134
22,7243234313767013658,1721,565079,6830,16789,9078
23,7244884367116487963,62589,7605922,269734,309753,7313
24,7247619902213754158,49722,7155496,42020,77873,57910
1,7240917037894225195,9372,4161863,9744,31366,64367
3,7246766412339875099,9377,4385810,16076,284708,198740
5,7231999592735313194,11887,1562536,2110,225941,5734
7,7247830360027958530,12318,883097,16186,50343,17346
11,7240533925506911531,11224,939010,10584,5654,11909
13,7251779614970858798,9639,1534607,2679,11304,27400
16,7252735661575277866,283,66401,18681,2238,7755
17,7251415828401229098,453,143252,15727,4847,5920
18,7254157727717461290,120,47486,2205,890,5898
20,7250160388052995355,965,467961,31223,28544,55634
21,7253150283117645098,2955,821499,47297,63813,157337
23,7227830138031983914,20150,4055647,28566,211761,91184
29,7237661488364670251,7195,2619617,30740,93073,12434
35,7250223701973749038,7209,753139,3376,51576,5711
36,7237909413707795755,1835,148407,434,1027,9589
37,7254901954122632494,146,12205,0,82,89698
38,7242627495357517102,6257,1259254,171097,40601,5167
39,7239400521965079851,3830,361347,4029,24252,16044
40,7253323710235430187,280,108112,13806,2872,5900
42,7251259012216343850,1061,150381,23672,13783,5736
49,7228437349640899886,5040,1108836,7512,28560,11234
51,7227509177155898667,8130,1610618,126254,55471,5898
52,7251738641641327914,2033,303205,5,732,9287
55,7236318784745704750,1978,381399,70586,7499,10234
68,7247543631085866286,43827,7989789,118251,1264429,5234
72,7245530012198194474,59,21112,13032,3234,5875
73,7225623975924108586,7576,647717,234164,146766,35711
74,7226516282848398635,2679,472693,52325,33873,13885
76,7237289642515631402,28656,2181870,296019,574152,19343
77,7231677443558493446,0,3890411,148921,306682,5713
3,7222044868128820522,27075,7114303,158978,49167,45734
4,7246782708813188395,568,187109,32965,13550,5934
5,7236431797872037163,12032,2443239,30209,73285,13094
7,7231913938093427994,131823,5681863,126544,596110,44372
9,7226105313471089966,2705,703394,10988,4227,8800
11,7242627747544337710,4850,456957,25192,34753,5700
12,7249018933230030123,17881,4204780,255075,110042,60094
13,7228763137481133354,1287,20065,1836,742,11834
15,7253682532770794795,167,55384,7533,2625,6270
16,7239805432259349806,9940,2144018,29690,101884,5734
17,7233764074016984366,6485,828443,37362,120113,5967
19,7245283924727876907,8633,2155392,5447,12619,56500
21,7247480923216727298,1749,548359,6387,21647,46000
24,7246223792480062766,3964,982696,7054,9795,124249
26,7247667412022086955,39,8302,15841,1382,7083
27,7252770377724595498,7608,1980703,270639,360173,32134
39,7250874275887090990,7620,1175114,136166,45459,60047
42,7252309637775609130,4979,1380433,40720,61743,5874
43,7226677141696531755,25991,3253243,199225,224143,10912
46,7241196673836404014,393,73615,39097,9602,5665
50,7243682431214341422,8376,2194387,302681,47206,5875
51,7232659654910823726,2369,425773,17308,4926,16021
52,7239385719511289130,34902,5542683,404465,350549,7367
53,7255311136197823790,1,817,0,8,63413
54,7233542107393314090,59,6185,24,56,10428
59,7236894142800973099,599,183235,18197,9414,5900
62,7249462181366877446,8715,1135210,18017,113400,24934
63,7222994354410065198,24,4725,3171,218,18000
69,7235668261495409962,959,99017,60173,30125,5177
84,7229033531551403306,1428,422057,45233,15763,5934
88,7244971130509888810,3198,1875133,20475,12563,13095
110,7248214988542922030,409,257928,117792,26795,19067
112,7250422952485784874,1473,156232,11034,10553,5900
127,7240953260457119018,5046,735623,9999,74912,5200
135,7246764863102651654,502,47072,13244,2721,5504
148,7252345492972031233,16,356,11,57,16741
149,7243773577290632494,4166,610653,55955,35983,5874
158,7240152355264630062,6241,4116204,1024001,137551,14167
172,7224475257736924418,31018,3783128,42675,37129,10967
180,7230250608354266410,10191,1322842,49135,101415,5875
183,7247263490082229546,2999,79913,13715,10035,13004
186,7249594934125235498,464,125111,9362,15934,6000
188,7250184128430214443,308,90605,2128,501,60331
192,7250524515266989314,2173,253824,997,22809,9067
193,7244573316701375786,3899,1048988,289035,112067,22383
195,7244106289666755886,371,114748,3022,14113,5875
197,7235523846617566506,32030,3871369,109281,730118,60975
199,7226941360962669830,78190,5734671,4667,515133,59034
209,7247387079301369134,4356,2097905,24739,208375,5316
217,7252189812411665707,205,87538,8201,770,8242
223,7250138504146046235,1646,2078921,3408,2520,20920
227,7239911663116242218,255,61932,13567,4885,5875
244,7225491233945259265,1790,1393522,17178,48714,37849
245,7232796005945593134,418,63082,1,1368,22367
250,7228458785449463086,1550,120575,2068,1352,10169
258,7250075372618845482,4719,743581,805,15339,107534
260,7249677062200511786,9,7064,1652,477,8034
262,7236065749104594218,281,43174,1,6675,41100
264,7231222564524412206,44,8121,3,71,10767
306,7240031972649733418,3214,1244801,330134,69953,12134
312,7255304995606744366,0,41,0,1,36200
335,7245939792465169706,30,9040,206,44,7686
338,7249130935587785990,2248,333135,2637,1808,13768
346,7252440552799718702,70,9373,96,73,5152
356,7225943524368190721,638,301751,23505,5742,12234
360,7223520417305365806,341,26932,4,2301,33878
376,7254591865217928475,6346,662849,4193,3738,60118
384,7235360889304550657,26017,2295480,81698,79324,19250
392,7223773555865963819,143,28106,2,3814,30698
393,7250238249459944750,5643,1058576,1130,65553,13934
394,7242391178610494762,1253,97622,1221,6252,8667
396,7246206640452537642,10,7655,1335,103,7501
409,7227249569615088942,935,57227,2750,1590,6267
433,7227026192711290155,10120,2912512,117839,132765,8400
443,7223785267537218862,16087,5339039,6340,260225,5867
455,7227360483689614638,6741,3111444,219158,234747,18412
460,7222263931551730990,3541,805422,63079,7223,5734
475,7237425581032394030,261,225279,33383,3618,9869
483,7251598273390054698,688,195165,18737,5481,6919
14,7229831884811914498,11242,7977036,271644,189465,26700
15,7239856064768871722,2103,1116562,20973,35554,8367
17,7244218237649505579,3681,1100393,122130,44012,19234
31,7227504926187064622,491556,614695,7425,15163,14600
38,7245735479046573358,2996,53435,0,7814,6300
39,7236113399279652123,47526,7480929,521026,755653,62509
55,7227576394312633642,39459,7586949,92633,523075,25934
59,7226829422505053483,16953,2629772,30460,387606,51106
65,7243132573583494446,11529,2730780,134619,49432,61078
69,7249150433166576942,8467,2262038,49882,191939,10234
74,7254259184492006702,118,26936,6973,1147,5898
75,7225661270194769194,717,320351,38909,1578,21900
78,7245297545981775150,2733,974938,25063,11520,27677
4,7232679168662621486,460,75250,66965,7894,5804
8,7225051545497308458,282,73265,3,5889,25134
10,7253102458984074542,17008,1460282,17422,24322,21088
12,7234772185548590337,48008,2978804,121994,135123,9544
54,7238324918872444202,1454,1467398,25348,11530,7067
69,7253784960971181355,1648,204470,34000,10277,5875
76,7248973880721706282,3257,893784,17983,20224,6013
1,7234160186418564394,193,44416,1,1327,19934
14,7232271816784448814,8406,1216911,4118,34283,136867
15,7238445795886845226,43318,7087529,247404,487078,5875
16,7228686258925653294,284,78465,8,3107,22934
22,7236048676785868075,1591,123990,2391,4995,4922
23,7244038127860321544,293,175080,394985,245884,8313
24,7250137692506377518,13,383,6,6,34834
25,7226733296066071810,42863,7326922,170311,803237,28779
26,7233092568601398530,11757,3406170,27272,20274,8381
32,7242241910016838954,906,287955,14941,35034,5875
35,7238965133274287406,688,89189,1,2916,34388
42,7245345915899219243,1553,361236,12820,68461,5875
47,7233434126966099242,508,40049,2,7133,15567
48,7231289696939216171,200,31558,38,15186,8567
52,7254506734092471598,5,4044,474,162,20100
60,7234217850741787950,542,41828,0,3647,71168
61,7225790195495374123,123,160391,16,1599,11770
62,7254597973236108587,4,184,1,4,45234
64,7227507336649428270,26371,11149531,110692,140571,12500
65,7252561276864367914,6721,907479,12470,40973,63534
67,7254913587083218219,21,17988,0,92,59883
69,7230086212260990254,3588,1015649,123537,11884,156711
70,7233119631777500458,21937,6160391,645497,814769,64811
71,7244947111890914561,2993,680191,28535,19723,9287
74,7245360703190650155,5130,2836547,19577,45236,15634
75,7242455958713126190,4047,3636609,3452,41059,59372
76,7249764987541949698,3,1978,9,6,8854
77,7241286610350902529,0,1257,11,3,52353
78,7239630776420093227,2413,651397,41672,13651,5934
79,7252605719659187498,1555,66302,11310,17873,136486
81,7222466751584357675,4527,631787,36678,7365,27050
82,7244448124025048347,567,104797,1660,646,16625
84,7248396708529376554,10404,1914388,9702,117572,8148
85,7223039337921776938,66,72293,6,4345,11500
88,7235640556846648622,37608,8814045,322699,515295,8151
25,7245648965654596910,280,243279,2024,6975,86054
30,7251564119164276010,1876,488606,10678,8366,22336
31,7233533212549483782,575,233074,74416,55342,17971
33,7224598622044998958,26666,6369256,46410,489272,25034
35,7238664396527062318,523,61737,2,3936,10600
42,7237497850085641515,7845,1401592,34791,93473,17476
43,7249506052541107499,509,90511,0,6869,17234
46,7246681467584105755,1733,358588,6397,2859,14558
47,7228734249720139054,107,9016,17,84,30038
52,7247481761477741866,174,493546,35832,12109,12422
53,7225092501646953770,439,15221,0,907,14117
54,7252820205578063147,4578,155765,3486,50939,67478
57,7255030068634766634,57,775,1,0,12500
59,7245479869176597806,726,241236,70,22926,5641
