aweme_id,comment_count,digg_count,download_count,share_count,duration
7095448791456828677,492,272290,237,193,11608
6931413133177212165,108607,9033022,105736,158954,12420
6892810075522583809,32412,8637829,40052,30442,45184
7257647953253272858,26,14486,4,17,8434
7257583218814242075,116,39134,7,130,114800
7257522222984744218,1496,57577,8,50,14167
7255687420178484506,23,2570,2,11,32205
7255055810336771354,41,22906,9,45,12143
7254996188993260827,55,41092,14,82,13536
7254131461664689434,40,15990,3,47,8172
7253875433802943771,174,41405,84,410,23219
7253137436929281307,1256,121890,62,341,9868
7250173374616423707,34,16497,17,70,5867
7249116085100793114,635,287785,2227,2357,15046
7246846705772088603,57,23468,20,48,6176
7246834286383418651,44,24742,42,78,7940
7246522264735255834,786,478725,914,1085,8289
7245334721184501019,57,6100,13,53,13676
7244894926264208667,71,36482,17,124,12079
7243864325973216538,26,15620,12,52,11867
7243459322993249562,67,32421,56,56,11911
7243411721111571739,27,5227,2,13,12813
7240869725155118362,47,29040,31,98,13567
7240856694673231131,29,14864,22,38,8434
7240104190809214235,88,11216,24,79,18320
7240079271622937883,30,28614,10,39,11214
7239042117815864602,206,58341,35,314,40379
7238603248960064795,27,3822,3,18,10700
7235324626648255770,398,271073,261,7127,9984
7234222579706285339,96,20756,112,178,15000
7234198330769788186,126,113567,150,221,25171
7234170515273862426,112,109367,86,222,14934
7233821554688216346,623,33696,796,333,0
7232648826572590362,106,18540,85,70,0
7231934047113596186,100,22588,34,172,66803
7231264357039066395,60,29615,15,108,5340
7256571081413250331,251,55893,77,335,21663
7255929972978732314,261,42670,29,147,59506
7255905858406583578,145,19078,23,54,31067
7255890447388740890,347,118434,605,3857,14001
7255733013659667739,222,21784,38,108,47600
7255560827510492443,186,33653,37,92,59034
7254884797116435738,530,34041,62,201,36292
7254678858308308250,215,41549,75,439,46827
7253825262784089371,508,39066,143,527,8148
7253817620976110874,72,15422,40,70,6686
7253182452825410842,348,32462,110,368,15734
7251218728736656666,321,85978,85,279,58900
7249862745993071899,570,56737,303,1330,9343
7249410990490586395,1070,136392,217,901,17431
7249407192741334298,1010,201717,145,251,32442
7249406876985707803,490,192625,222,380,52498
7249398597769284890,167,24504,23,32,56499
7249109681988324635,1595,103606,313,501,59626
7249043332276571418,665,34030,53,85,88534
7248698973601467674,2359,124339,198,426,59047
7248653788968537370,1061,129844,257,2381,67444
7248376047975107867,1300,190731,463,632,69218
7248362178523237658,339,66202,50,106,7685
7248348947448614170,2652,533529,1692,1899,113164
7247956063595564314,1044,139415,276,680,13188
7247937489598532890,3846,1127847,5066,5511,58900
7244515183224229146,4139,484246,1025,1969,51622
7244501389311855898,465,58416,136,280,7987
7244483014980291867,275,37446,111,565,15000
7243090506018819354,795,347931,318,775,8667
7243080423570443546,220,28151,611,188,6273
7243078511005650202,335,104087,154,371,6501
7241279745969655067,328,80759,125,406,56884
6542558213013771279,79833,4344449,4268,36727,11214
6592202398792420614,25342,3640014,14757,40055,13861
7256465314378992922,21,3384,9,14,12236
7256390474934537498,34,5285,5,14,12120
7255016728139205915,21,2111,2,7,15046
7250184646355422491,45,4153,31,20,28142
7248731740150320411,42,2840,37,14,15000
7243460177851206938,47,11146,39,50,11238
7241223900267384091,54,6632,11,89,64233
7234129550693731611,143,26905,25,246,24634
7209310407352143109,233,6743,56,87,45167
7198935004611710214,79,9092,45,79,11818
7160671816636173573,160,31604,151,71,12654
7137343169892453638,385,6329,225,42,11631
7131404022124236038,60,7443,39,14,16158
7131045520943910150,104,15576,203,59,10702
7113163880993541382,151,9164,73,29,36453
7099791973367827717,63,4094,16,9,37010
7068703900555054341,218,69512,145,51,10934
7066843009102499077,226,20871,146,68,15160
7066445541793713414,698,43559,246,108,9634
