,target,tweet_text
780000,0,talking to... no one 
780001,0,wanna listen to &quot;my girl&quot; but can't cuz I had to restore iPod 
780002,0,"OK, finally threw everything out.  Trying something completely different, just have to learn it from the ground up... "
780003,0,"My dumbass wiped the micro sd card I had in my cell phone.  On an unrelated note, fresh sheets are always wonderful.  *roll roll roll*"
780004,0,"@HorseCrazyBoy1 oh apologies dear friend - i was mentioning people i knew corey knew, i forgot u guys were friends  "
780005,0, although some may say its a good thing! i've now lost my voice!!! 
780006,0,"transformers #2 made me really, really sad. &lt;/3 starscream&amp;R8 "
780007,0,"Instapaper bookmarklet on iPhone not working for me. Almost as frustrating as a repeated &quot;Islands in the stream, that is what we are...&quot; "
780008,0,@johnonline54 oh i see how it is then 
780009,0,@supermac18 Hey! i wish i went to the demi concert  But i'm going to the one in vegas Babay! Lol But yeah talk to muahhh!
780010,0,@sprinkletopping are you vomitting out yer butts too? 
780011,0,ugh i cant sleep 
780012,0,"Watching The Godfather III. Man, God must really hate Vincent to make Mary Corleone that freakin' hot AND his cousin "
780013,0,@criminalrecords Do you have any more in-stores coming up other than on the site? Can't DM u. 
780014,0,crappers !! Linda i wanna see the video but i cant cuz im on mobile  i miss you and maddlebuts!!
780015,0,"@Qtess: seriously?!? i thought it's a birthday, not a wedding. am not too keen on buying white pants for one-time use only "
780016,0,"Children laugh 400 times a day, while adults laugh on average 15 times a day...that's sad "
780017,0,i go to germany in 2 hours 
780018,0,@pingiwingi Poor thing   Hope you feel better soon.
780019,0,About to go to bed in a lil I have to go to work at 10:30 and get off at 7. Going to miss the NBA draft 
780020,0,@LorrainesLife watch out for the rusty chain - my 2 week old chain wasn't happy when i didn't clean it 
780021,0,"OUCH, needles today  thought of lots of campaign ideas during english today. was the teacher with jovie and harry "
780022,0,No @JTimberlake this fall? 
780023,0,jus saw transformers... i fell asleep alot tho 
780024,0,@TheLovelyNikki a drunken blur without me ?  lol
780025,0,@wtcc Yay Mac! I can not wait or the new video...do you even read ur at replies because u never repy..? 
780026,0,@retrochic20 same here. i wanna watch it but there's only one tv here and cesar rented valkyrie for tonight so that's what we're watching 
780027,0,Weather is minging to day after such a nice day yesterday  got college as well  but no college 2 moz wo0o0op  xx
780028,0,I want a russian blue dumbo pet rat! 
780029,0,Telstra phone/BigPond connection is down again for th16th time this week. 6th tech is apparently on his way 
780030,0,well good night! i have a busy 2 days coming up BFF is leaving me for two day  but she will b back and i also get to see my GF saturday 
780031,0,"keep singing 'Lost In Translation', can you believe it?! we just woke up and stang Lost In Translation!  WE NEED TO BE THERE AGAIN "
780032,0,"http://bit.ly/Vppc3 via @addthis According to reports, Farrah Fawcett is deteriorating rapidly.  So sad. "
780033,0,"I'm sleeping or crying myself to sleep, either way, today was hell "
780034,0,I miss when my true close friends were close. Now we are all separated and they are all doing their own thing 
780035,0,I can't seem to &quot;follow&quot; @ddlovato... how come? 
780036,0,I just lost a lot of money on roulette   oops
780037,0,@JerZmusic would love to have à Sidekick too but they don't sell that here 
780038,0,Taking a day off from Twitter.  See u Friday. 
780039,0,Just found out some depressing news!  Thats going to ruin my night well morning!
780040,0,Marley's such a great dog. 
780041,0,Sooooo our hotel's RIGHT next to train tracks... lame. 
780042,0,"Hmpf. I miss Michael, so much "
780043,0,Eating pik-nik. It's makes me feel like a little kid again. I'm exhausted. 
780044,0,@cmogle is there an upgrade? my software update doesn't show  @futurescape Am on 10.4.11 but Safari 4.0 isnt behaving.
780045,0,hungry ..  and wants to watch transformers!
780046,0,@MandyCharlton Ouch  That sounds nasty chick
780047,0,"@MAMAHINA effin maheenz, I'm out here tonite, not gonna be out tmrw night! Err everyones bailing! "
780048,0,where is direct messages to me 
780049,0,"@neggii um, too many people - not enough sales. So we didn't make our quota "
780050,0,"is depressed. No matter what she does, she can't make anyone happy. "
780051,0,@highheelFIEND we aint get the chance to talk though.. 
780052,0,Ok iz tyme for beddd.. I'm going to regret being up dis late in the am  (o well)
780053,0,@NoelClarke not there yet but i'm on my way. Because i commute to London from Brighton. Livin' the dream. Apart from the commute. 
780054,0,Just fed Ari &amp; now I can't fall asleep! 
780055,0,"@wilw It's the internet unfortunately, half the time people are either dicks to you, or are trying to spam about worthless crap. "
780056,0,Religious Studies first period  .......... Yawn fest! And the teacher is a grade 1 A hole! Dredlocks ewwwwwww!
780057,0,@Betsy103  You make me jealous. I had like... those flimsy pack juices D: hahaha
780058,0,Now the weirdness starts  but I know if I push too hard for info then all hell will break loose! This is a precarious situation guys!
780059,0,i am very frustrated with #youtube right now... i just want my playlist so i can go to sleep!!! 
780060,0,Good morning everyone!Dead tired and a bit sad!  But then as things develop! I hope so!
780061,0,Viciadíssimo em Franz Ferdinand há três semanas. &quot;Is this gonna last forever?&quot; 
780062,0,"keep singing 'Lost In Translation', can you believe it?! We just woke up and sang Lost in Translation!    WE NEED TO BE THERE AGAIN! "
780063,0,Just been told my job is no longer exists 
780064,0,@DomoJae  the 1st time Dizzle ever said sumthin mean 2 me.  That hurt bad
780065,0,i got sick tonight 
780066,0,"@wanderblah ignore my question on account of severe sleep deprivation, lack of alcohol and workaholism lately "
780067,0,Bye bye crush. 
780068,0,@karendelosreyes I miss watching you on television 
780069,0,@steveluong ditto 
780070,0,"Up, awake and packed. Waiting for jade to pick me up so we can go to breakfast. I dont want to leave, but at half 4 we have to "
780071,0,@GooHoMeRoDeriCK its about time u replied 2 me i hadma twitter a few weeks no and u never reply bacc...erika dnt either 
780072,0,Shitty weather / Tempo de merda 
780073,0,sore throat doesnt help either 
780074,0,Nasty experience x 2 on the Brompton on the way to the station 
780075,0,My baby Carmelo is sick  i hope he makes it thru the nite until i can get to a vet in the morning.
780076,0,"I feel so bad, so stupid and so dumb. "
780077,0,i miss you so very much 
780078,0,Dad just came out from an appt. with his cardiologist. No conclusive results from tests. I guess more tests to follow. 
780079,0,It really bugs me when I can't floss 
780080,0,what ? Whats wrong 
780081,0,@abbybaby09    i'm sorry... did you ever find that punching bag?
780082,0,"@anysinta : anya,hmm~i think that hyukkie is the most kind  haha~he reply my message and the others not "
780083,0,@princesstimetoy  I hope you feel better soon! I recently found out that my tattoo guys wife was diagnosed with MS not long ago
780084,0,I want a pi-bab!  hehehe.
