aweme_id,comment_count,digg_count,download_count,share_count,duration,my_sent,hf_sent,dich_hf_sent,dich_my_sent
7095448791456828677,492,272290,237,193,11608,0.673469387755102,0.7477749780732759,1,1
6931413133177212165,108607,9033022,105736,158954,12420,0.5434782608695652,0.6180551168711289,1,1
6892810075522583809,32412,8637829,40052,30442,45184,0.5714285714285714,0.5705900897785109,1,1
7257647953253272858,26,14486,4,17,8434,0.3333333333333333,0.350899467865626,0,0
7257583218814242075,116,39134,7,130,114800,0.3125,0.5201853935917219,1,0
7257522222984744218,1496,57577,8,50,14167,0.3,0.4512271451950073,0,0
7255687420178484506,23,2570,2,11,32205,0.5,0.9904688596725464,1,1
7255055810336771354,41,22906,9,45,12143,0.2352941176470588,0.4032166705412023,0,0
7254996188993260827,55,41092,14,82,13536,0.5454545454545454,0.4997696515285607,0,1
7254131461664689434,40,15990,3,47,8172,0.1764705882352941,0.3379972156356363,0,0
7253875433802943771,174,41405,84,410,23219,0.44,0.531242767572403,1,0
7253137436929281307,1256,121890,62,341,9868,0.46,0.7853619849681854,1,0
7250173374616423707,34,16497,17,70,5867,0.5,0.4099497099717458,0,1
7249116085100793114,635,287785,2227,2357,15046,0.76,0.6536992573738098,1,1
7246846705772088603,57,23468,20,48,6176,0.59375,0.533082127571106,1,1
7246834286383418651,44,24742,42,78,7940,0.4761904761904761,0.6101900140444437,1,0
7246522264735255834,786,478725,914,1085,8289,0.42,0.4878252911567688,0,0
7245334721184501019,57,6100,13,53,13676,0.5142857142857142,0.5626497081347874,1,1
7244894926264208667,71,36482,17,124,12079,0.5869565217391305,0.5453988093396892,1,1
7243864325973216538,26,15620,12,52,11867,0.6,0.617434287071228,1,1
7243459322993249562,67,32421,56,56,11911,0.5952380952380952,0.605409114133744,1,1
7243411721111571739,27,5227,2,13,12813,0.6,0.6849299907684326,1,1
7240869725155118362,47,29040,31,98,13567,0.55,0.6148092746734619,1,1
7240856694673231131,29,14864,22,38,8434,0.3333333333333333,0.3110108375549316,0,0
7240104190809214235,88,11216,24,79,18320,0.3888888888888889,0.4784457451767391,0,0
7240079271622937883,30,28614,10,39,11214,0.4285714285714285,0.1930153625352042,0,0
7239042117815864602,206,58341,35,314,40379,0.673469387755102,0.7598610873125038,1,1
7238603248960064795,27,3822,3,18,10700,0.4285714285714285,0.6295241287776402,1,0
7235324626648255770,398,271073,261,7127,9984,0.6875,0.6438951306045055,1,1
7234222579706285339,96,20756,112,178,15000,0.5714285714285714,0.6549649360228558,1,1
7234198330769788186,126,113567,150,221,25171,0.4680851063829787,0.611554409595246,1,0
7234170515273862426,112,109367,86,222,14934,0.7142857142857143,0.7255590910814247,1,1
7231934047113596186,100,22588,34,172,66803,0.5106382978723404,0.613854410800528,1,1
7231264357039066395,60,29615,15,108,5340,0.425,0.4922579273581505,0,0
7256571081413250331,251,55893,77,335,21663,0.56,0.4429224336147308,0,1
7255929972978732314,261,42670,29,147,59506,0.38,0.4495967602729797,0,0
7255905858406583578,145,19078,23,54,31067,0.3829787234042553,0.5908462709568917,1,0
7255890447388740890,347,118434,605,3857,14001,0.4565217391304347,0.4562722159468609,0,0
7255733013659667739,222,21784,38,108,47600,0.52,0.4376204788684845,0,1
7255560827510492443,186,33653,37,92,59034,0.5102040816326531,0.4968745501673951,0,1
7254884797116435738,530,34041,62,201,36292,0.4583333333333333,0.3680915584166844,0,0
7254678858308308250,215,41549,75,439,46827,0.52,0.6879798483848572,1,1
7253825262784089371,508,39066,143,527,8148,0.44,0.2893891179561615,0,0
7253817620976110874,72,15422,40,70,6686,0.5135135135135135,0.4715735380714004,0,1
7253182452825410842,348,32462,110,368,15734,0.48,0.6102096581459046,1,0
7251218728736656666,321,85978,85,279,58900,0.3125,0.3666313402354717,0,0
7249862745993071899,570,56737,303,1330,9343,0.36,0.4268711256980896,0,0
7249410990490586395,1070,136392,217,901,17431,0.42,0.4750056672096252,0,0
7249407192741334298,1010,201717,145,251,32442,0.32,0.4452066278457641,0,0
7249406876985707803,490,192625,222,380,52498,0.4,0.2979638075828552,0,0
7249398597769284890,167,24504,23,32,56499,0.4285714285714285,0.4029355414059697,0,0
7249109681988324635,1595,103606,313,501,59626,0.36,0.410226833820343,0,0
7249043332276571418,665,34030,53,85,88534,0.4081632653061224,0.2973386864272915,0,0
7248698973601467674,2359,124339,198,426,59047,0.36,0.732074933052063,1,0
7248653788968537370,1061,129844,257,2381,67444,0.34,0.3991408503055572,0,0
7248376047975107867,1300,190731,463,632,69218,0.4,0.3160924994945526,0,0
7248362178523237658,339,66202,50,106,7685,0.58,0.510936096906662,1,1
7248348947448614170,2652,533529,1692,1899,113164,0.4,0.4419434893131256,0,0
7247956063595564314,1044,139415,276,680,13188,0.4166666666666667,0.4258572546144326,0,0
7247937489598532890,3846,1127847,5066,5511,58900,0.44,0.4743869411945343,0,0
7244515183224229146,4139,484246,1025,1969,51622,0.48,0.366698647737503,0,0
7244501389311855898,465,58416,136,280,7987,0.54,0.5493865311145782,1,1
7244483014980291867,275,37446,111,565,15000,0.5510204081632653,0.7115560988990628,1,1
7243090506018819354,795,347931,318,775,8667,0.3,0.491516592502594,0,0
7243080423570443546,220,28151,611,188,6273,0.5,0.6100506675243378,1,1
7243078511005650202,335,104087,154,371,6501,0.2857142857142857,0.526386808375923,1,0
7241279745969655067,328,80759,125,406,56884,0.2448979591836734,0.5028147101402283,1,0
6542558213013771279,79833,4344449,4268,36727,11214,0.5531914893617021,0.4234393911158784,0,1
