aweme_id,comment_count,digg_count,download_count,share_count,duration,comments
7095448791456828677,492,272290,237,193,11608,"['I love you so much abby', 'Why does everyone on TikTok think they can sign', 'my friends were there so mad they didnt invite me ', '@___46kelly46___ @elise.11.4.19 love love love', 'LETS GOOOOOOO', 'Man her voice is the best thing', 'Girl arent you opening for H?? Youre at my tour stop and Im hyped', 'Smashed it! Was dope joining you guys for the Bristol and Leeds show ', ""waittt i didn't know u sing"", ""when did you start singing  l was like let me search you up cos l don't see your makeup anymore on my fyp"", 'i cant believe that i follow you on insta since like 2018 and now youre here!!! so proud of you ', '', 'youre really talented', 'Loved this show you were incredible ', 'Awe you look so happy at that moment ', 'was unreal ', 'is there a backing track of you singing as well as you singing on top of it?', 'How many people where there??!!?', 'I am so happy  Thank u Abby ', 'Hi Abby I know you probably wont respond to this because your probably busy but I just wanted to say I love you so much and I think your reallypretty', '@lillyisamazong I think I skipped an episode, I saw her lost in 2020', 'getting very big hayley williams vibes', '@user17786246 @jamespotterisaswiftie us at leeds', 'THIS IS SO CUTE', 'ur gonna love argentina i promise you we will scream the whole song', 'Your voice/music reminds me of a combo of Slowdive and Lush', '@sean_krts what the', '@.marie.005 I didnt know she sang she has a tour in Brighton', 'I was there it was so amazing', 'U sing :o', 'Hello ', 'Abby was so good in Brighton last night  The most beautiful woman Ive ever seen too ', 'You are amazing and have come far ', ""I wany to go to the brighton show but it's sold out !!!"", '@rosebvrne I SEE ME !!!', 'You created a different asthetic for music and its literally what Ive been looking for ', 'Girl you sound so good live! Cant wait to see you with Halsey ', '@s.he.y.ma lol is she okay', 'OMG Abby your so beautyful and awesome, and I love love LOVE your voice', 'PLEASE COME TO TEXAS ABBY', 'THATS SO CUTE ', 'OMG ABBY YOU ARE AMAZING ', 'LOVE THISS', 'YOU WERE AMAZINGGGG', 'WOWWWWW', 'It looks so natural you being up on stage Abby! You look so comfortable!', 'AHHH I LOVE U SO MUCHH <33', 'STUNNING ', 'yesss', 'you were so amazing!!!!!']"
6931413133177212165,108607,9033022,105736,158954,12420,"['holy twilight', 'Okayyyy but you guys ate this up and left  no  crumbs ', 'REGINA GEORGE QUEEN!!', 'You look so much like Rosalie', '@_julxa15_ RAH ROSALIE IS SO GOOD', 'OHHHH MYYYYYY GOSSSHHH', 'OMG YES', 'Obsessed', 'YALL LOOK SO MUCH LIKE THEM', 'How!', 'THIS HAS SAVED 2021 aha', 'I love your new hair color ', 'Does this queen reply xx', 'YESSS OMGG', 'I was totally not stalking ur account and now Im early ', 'You look EXACTLY like Alice and Rosalie!!', 'the transition was smooth ayyyyy', 'WE WERE NOT READY ', 'making me wanna watch twilight', 'DO BELLA PLEASE', 'YOU BOTH LOOK SO GOOD ', 'u dont understand.... im OBSESSED', 'woahhh', 'luna lovegood omg please and charlotte can be neville!', 'Star from star vs the forces of evil pls :)', 'Really said copy and paste', 'hiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii Abbyrartistry ', 'They look so hot bye.........', 'I love how you are rocking your blonde hair', 'Omg I love this', 'WOAH THIS IS AMAZING!!', 'Can I get an owa owa xx', 'PLS DO CHARLOTTE LA BOUFF FROM PRINCESS AND THE FROG', '@rubeszzz @plutoheidi @squidwardlily @instant.death @sophiewoph1e AYO OMFF????', 'thats a whole flex to look like her', 'OMG THIS IS AMAZONG SHSHSHSM', '@itsimzooohhh LOOK AT ABBY SHE LOOKS EXACTLY LIKE ROSALIE', 'abby repeat after me, liked by creator', 'First', 'Can you try Elena or Caroline from the Vampire Diaries? ', 'hiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii Abbyrartistry ', '@mia_korea09 @maizyleighhobbs why do they actually look like them', 'ABBY MY OTHER FP OF U GOT BANNED SO I MADE DIS ONE!!', 'DO TAYLOR SWIFTS LOVER ALBUM COVER', 'Look so good!!', 'Im early !!!']"
6892810075522583809,32412,8637829,40052,30442,45184,"['I Love', 'omgg beautiful', 'hi beauty ', 'YES', ""I've been watching this for an hour I still can't tell which one you are"", ""YOU'RE SO TALENTED "", 'impresionante', 'Yes this is the one I have been waiting for!!!!!', 'hi from Russia', 'OMFG i live for these', '2022 anyone?', 'where do you get your contacts???!?', 'First', '1m ago omg and first to comment', 'Me hubiese encantado que ellas maquillaran a los personajes para el live action de @nickelodeon', 'YESYESYES OMGGG', 'Yesssssss', 'Is there anything you cant do', ' ME ENCANTA!!!!!', '2022?', 'easy first for the first time', 'THIS WAS 2020 NO WAY', '2022 anyone?', 'Wait whos who', 'amazinggg', ""who's here in 2021"", '1st x', '2022? ', 'UR ON GLOW UPPP', 'sure the last one ', 'this was almost a year ago...', 'I love those 2 monster high dolls', '2021 looking at this masterpiece people?', 'My toxic trait is thinking I would easily do this', 'IT SEEMS LIKE YESTERDAY YOU MADE THIS', '2022 hereee', '2022', 'Pov:this is in 2020 and your in 2021', 'OMG I REMEMBER THIS GAME ON FRIV ', 'alguien del 2022 ', 'Omg 2 years agooo!?!?', 'me acuerdo cuando vi este video', 'how is this one year ago', 'THIS CANNOT BE OVER A YR AGO-', 'POV its may 2022', 'Whos who', '2022', '@chl0ealsaamany this was last year bro', 'You should redo this with the tatti lashes!']"
7257647953253272858,26,14486,4,17,8434,"['Thats when you get the scissors', 'That is actually depressing', 'Cut it', '3rd ', 'Girl I would have taken scissors to it', 'Sweet))@BotCatcher']"
7257583218814242075,116,39134,7,130,114800,"['Omg I would have a panic attack with that stuck on me', 'when u said ""I\\\'m f exhausted and I\\\'m even got it.."" gives me gloria modern family vibes ', 'i would just commit to the outfit like a cartoon character', '@Eden  this makes me feel so stressed', '@elisabeth omg i keep on forgetting shes british', 'Why does everyone use oil ? Powder is so much better', 'The time it took is not worth it, sis  such a shame since you ROCKED IT', 'the wii remote strap to zip it up  that was real creative', 'its giving ross', 'Wheres the wig from plsss', 'I would have a panic attack @Mollie', 'It looks so good tho!', 'the live TOOK ME OUT it was so funny lmao', 'Ok but Abby you need to go dark with your hair. Im begging you.', 'Youre just a dream.', 'I would be so claustrophobic', 'I panic if I get stuck in a jumper let alone a skin tight dress', 'me getting ready at 3AM full face of makeup, heels and wearing on my most expensive dress just to go to bed :', 'Honestly latex is such a workout to get on and off ', 'THE BLACK HAIR ', '@Sammi abbi needs your help! Xx', 'soooo worth it!! you look amazing!!', 'Okay but you do look incredible ', 'I would just sit and hit my head out of frustration tryna get that off ', 'Very random but you remind me so much of Jodie from Casualty', 'I mean not a bad outfit to live forever in ', '@Lisa talking about Latex today ', 'Its cute but ill feel like Im trapped ', 'It looks soooo good', '3 hours ', 'U look amazing', 'I saw your live earlier', 'I watched the whole live and I was crying ', 'Your so pretty!! ', 'Unrelated but this video made me wanna get a fringe', 'the hair is everything', 'You look amazing in it so Id say it was a total slayyyy!!! Aside from the getting stuck part maybe god was protecting you that three hours and kept', 'so pretty though', 'Gorge x', 'Ur so pretyyyy  and seem like such a fun person to hang out with ', 'Early!!', 'Slaying the look Abby', 'Does she reply??', 'ross geller?', 'I had no idea your voice sounded like that', 'This makes me feel things.', '', '', 'my sensory issues would not allow', '@niamh got sensory issues just watching this']"
7257522222984744218,1496,57577,8,50,14167,"['BLACK WITH A STRIP OF PINK WOULD LOOK SO GOODDDD', 'here me out green but not that color green and not that style', 'The red haircut butttt if you could get it in black', 'greeen', 'pink rn and black in the fall/winter', 'green definitely the bangs are so cute with that colour', 'black always best', 'Has anyone noticed this song sounds like that Miley Cyrus song? I cant wait to see you again?', 'you look like demi lovato with the red one', 'RED', 'GREEN', 'REDDDD', 'bro why is nobody saying red??', 'BLACK HAIR ABBY WOULD MAKE HISTORY', 'Loved the style of the last one- not sure about the colour tho', 'black', 'Pink', 'Rainbow, pink or black. Look stunning in all tho ml! Xx', 'Black is the prettiest', 'The pink and black one', 'Green pleaseeeeeee', 'Definitely one of the black ones', 'Red but wolf cut', 'the short red', 'The black one ', 'rainbow!!', 'PINK pls', 'Red or black', 'rainbow with the rainbow bangs would be sick', 'Red!', 'Black', 'style of green but in pinkk', 'pink', 'Im kinda here for the pink', 'Pastel pink omg ', 'PINK', 'GREEN!!!', 'Pink', 'Pink!', 'Red or pink for sure', 'GREEN', 'BRING THE RED HAIR BACKK', 'Rainbow or pink', 'Half pink half black?', 'The pink color is so pretty on you', 'pink or black', 'Rainbow ', 'Pink', 'RED OMG', 'GREEN!']"
7255687420178484506,23,2570,2,11,32205,"['ASMR W ABBY! ', '', 'she cute@BotCatcher']"
7255055810336771354,41,22906,9,45,12143,"['All those bots omg', 'Barbie Abby', 'SO CUTEEE', 'Good ', 'Murphy is slaying every step!!!', 'It so old fashioned barbie', 'Yess imagine a barbie airline ', 'maravilhosaaa mulherrr', 'iloveyou ', 'you look like a million bucks', '', 'Its giving legally blonde', '', '', '@BotCatcher', '@ziggy stardust', '@teenage girl', '', 'Imagine telling someone to khs', 'you', 'You look like Emma Robbers ']"
7254996188993260827,55,41092,14,82,13536,"['I got your makeup pallet! I really like it :)', 'Gorgeous ', 'YAAASSS', 'OMG SLAY SLAY SLAY ILY <33', '@Emilyyy Oldroyd HIM', 'so prettyyy', ' Early ', 'Early and Pretty  ', 'I hope you have fun Abby ', ',      ', '      ', 'Omigod it isssssssss', 'The outfit is so pretty!!!', '', 'No way', 'Why ', '@BotCatcher bots everywhere bro', 'Barbies Name is Barbara', 'Imagine telling someone to khs', 'He name is Barbara', 'Barbara Milicent Roberts', 'LMAOOO THE BOTSSSS', 'what are these npc comments ??', ""the dishes are washed, the food is ready, I'm in bed"", ""Barbie's real name is actually Barbara but was shortened to Barbie"", 'You look liek Lana del Rey', 'Her full name is Barbara Millicent Roberts x', 'I thought it was Barbara? ', 'Its actually Barbra Roberts', 'Whos the Ken', 'they inviting anyone', 'I mean literally Barbie and Ken ', 'I feel like you used the exact same caption before ', 'I wish they played you', '@BotCatcher']"
7254131461664689434,40,15990,3,47,8172,"['Nice', ' Why ', 'You look flawless as a grandma', 'botox doesnt work unless you get it while your young', 'You have to do it without make up. You obviously wont be wearing makeup being an old bat', 'Imagine telling someone to khs', 'and died hair when it goes white', 'Stevie nicks?', 'old you looks like lana del rey', 'old you looks like Lana', '      ', 'No', 'No i read you', 'She does', 'What', '@BotCatcher', '@BotCatcher', 'he batar ']"
